date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:53	13425/13425	---M--	200	added ('OK')	text/html	etag:%22952ca5cfed28cf1:54b0cb%22	http://www.vitutor.com/calculo.html	/home/mario/websites/copiaVitutor/www.vitutor.com/calculo.html	(from )
11:57:54	12500/12500	---M--	200	added ('OK')	text/html	etag:%22902bc7d1ed28cf1:54b0cb%22	http://www.vitutor.com/estadistica.html	/home/mario/websites/copiaVitutor/www.vitutor.com/estadistica.html	(from )
11:57:54	15322/15322	---M--	200	added ('OK')	text/html	etag:%2254abc2ceed28cf1:54b0cb%22	http://www.vitutor.com/bac_1.html	/home/mario/websites/copiaVitutor/www.vitutor.com/bac_1.html	(from )
11:57:55	12381/12381	---M--	200	added ('OK')	text/html	etag:%228b6c24cfed28cf1:54b0cb%22	http://www.vitutor.com/bac_1cs.html	/home/mario/websites/copiaVitutor/www.vitutor.com/bac_1cs.html	(from )
11:57:55	13611/13611	---M--	200	added ('OK')	text/html	etag:%22c5ba32cfed28cf1:54b0cb%22	http://www.vitutor.com/bac_2.html	/home/mario/websites/copiaVitutor/www.vitutor.com/bac_2.html	(from )
11:57:56	13319/13319	---M--	200	added ('OK')	text/html	etag:%22ba4099cfed28cf1:54b0cb%22	http://www.vitutor.com/bac_2cs.html	/home/mario/websites/copiaVitutor/www.vitutor.com/bac_2cs.html	(from )
11:57:56	32701/32701	---M--	200	added ('OK')	text/html	etag:%22d9dbd1cded28cf1:54b0cb%22	http://www.vitutor.com/arithmetic.html	/home/mario/websites/copiaVitutor/www.vitutor.com/arithmetic.html	(from )
11:57:58	31354/31354	---M--	200	added ('OK')	text/html	etag:%22119987c8ed28cf1:54b0cb%22	http://www.vitutor.com/algeb.html	/home/mario/websites/copiaVitutor/www.vitutor.com/algeb.html	(from )
11:57:58	23028/23028	---M--	200	added ('OK')	text/html	etag:%22c9bfbcd2ed28cf1:54b0cb%22	http://www.vitutor.com/geometry.html	/home/mario/websites/copiaVitutor/www.vitutor.com/geometry.html	(from )
11:57:59	25056/25056	---M--	200	added ('OK')	text/html	etag:%22402bc1cded28cf1:54b0cb%22	http://www.vitutor.com/analytic_geometry.html	/home/mario/websites/copiaVitutor/www.vitutor.com/analytic_geometry.html	(from )
11:58:00	12808/12808	---M--	200	added ('OK')	text/html	etag:%226ca11b8f328cf1:54b0cb%22	http://www.vitutor.com/geometry/trigonometry/trigonometry.html	/home/mario/websites/copiaVitutor/www.vitutor.com/geometry/trigonometry/trigonometry.html	(from )
11:58:01	43303/43303	---M--	200	added ('OK')	text/html	etag:%22f6613bd0ed28cf1:54b0cb%22	http://www.vitutor.com/calculus.html	/home/mario/websites/copiaVitutor/www.vitutor.com/calculus.html	(from )
11:58:01	26958/26958	---M--	200	added ('OK')	text/html	etag:%2287db36e8ed28cf1:54b0cb%22	http://www.vitutor.com/statistics.html	/home/mario/websites/copiaVitutor/www.vitutor.com/statistics.html	(from )
11:58:02	31420/31420	---M--	200	added ('OK')	text/html	etag:%22ee744ed0ed28cf1:54b0cb%22	http://www.vitutor.com/ejercicio.html	/home/mario/websites/copiaVitutor/www.vitutor.com/ejercicio.html	(from )
11:58:03	19848/19848	---M--	200	added ('OK')	text/html	etag:%2274bed8d0ed28cf1:54b0cb%22	http://www.vitutor.com/ejercicios_matematicas.html	/home/mario/websites/copiaVitutor/www.vitutor.com/ejercicios_matematicas.html	(from )
11:58:04	25068/25068	---M--	200	added ('OK')	text/html	etag:%22a7ee4ceaed28cf1:54b0cb%22	http://www.vitutor.com/worksheets.html	/home/mario/websites/copiaVitutor/www.vitutor.com/worksheets.html	(from )
11:58:05	20562/20562	---M--	200	added ('OK')	text/html	etag:%22b823dde6ed28cf1:54b0cb%22	http://www.vitutor.com/problems.html	/home/mario/websites/copiaVitutor/www.vitutor.com/problems.html	(from )
11:58:06	11195/11195	---M--	200	added ('OK')	text/html	etag:%226e9e233df328cf1:54b0cb%22	http://www.vitutor.com/gramatica_inglesa/articles/index-articles.html	/home/mario/websites/copiaVitutor/www.vitutor.com/gramatica_inglesa/articles/index-articles.html	(from )
11:58:06	17934/17934	---M--	200	added ('OK')	text/html	etag:%2228df8783f328cf1:54b0cb%22	http://www.vitutor.com/gramatica_inglesa/pronouns/index-pronouns.html	/home/mario/websites/copiaVitutor/www.vitutor.com/gramatica_inglesa/pronouns/index-pronouns.html	(from )
11:58:06	13694/13694	---M--	200	added ('OK')	text/html	etag:%2218911167f328cf1:54b0cb%22	http://www.vitutor.com/gramatica_inglesa/nouns/index-nouns.html	/home/mario/websites/copiaVitutor/www.vitutor.com/gramatica_inglesa/nouns/index-nouns.html	(from )
11:58:07	16100/16100	---M--	200	added ('OK')	text/html	etag:%223ce68c27f328cf1:54b0cb%22	http://www.vitutor.com/gramatica_inglesa/adjectives/index-adjectives.html	/home/mario/websites/copiaVitutor/www.vitutor.com/gramatica_inglesa/adjectives/index-adjectives.html	(from )
11:58:07	14386/14386	---M--	200	added ('OK')	text/html	etag:%22979a7a39f328cf1:54b0cb%22	http://www.vitutor.com/gramatica_inglesa/adverbs/index-adverbs.html	/home/mario/websites/copiaVitutor/www.vitutor.com/gramatica_inglesa/adverbs/index-adverbs.html	(from )
11:58:08	13366/13366	---M--	200	added ('OK')	text/html	etag:%22d4385a7ef328cf1:54b0cb%22	http://www.vitutor.com/gramatica_inglesa/prepositions/index-prepositions.html	/home/mario/websites/copiaVitutor/www.vitutor.com/gramatica_inglesa/prepositions/index-prepositions.html	(from )
11:58:08	21054/21054	---M--	200	added ('OK')	text/html	etag:%22f23314d8f328cf1:54b0cb%22	http://www.vitutor.com/gramatica_inglesa/verbs/index-verbs.html	/home/mario/websites/copiaVitutor/www.vitutor.com/gramatica_inglesa/verbs/index-verbs.html	(from )
11:58:09	29982/29982	---M--	200	added ('OK')	text/html	etag:%22246bc1a3f328cf1:54b0cb%22	http://www.vitutor.com/gramatica_inglesa/verb_tense/index-verbs.html	/home/mario/websites/copiaVitutor/www.vitutor.com/gramatica_inglesa/verb_tense/index-verbs.html	(from )
11:58:10	14691/14691	---M--	200	added ('OK')	text/html	etag:%22d233655cf328cf1:54b0cb%22	http://www.vitutor.com/gramatica_inglesa/modal_verbs/index-modals.html	/home/mario/websites/copiaVitutor/www.vitutor.com/gramatica_inglesa/modal_verbs/index-modals.html	(from )
11:58:10	16483/16483	---M--	200	added ('OK')	text/html	etag:%229422854f328cf1:54b0cb%22	http://www.vitutor.com/gramatica_inglesa/clauses/index-clauses.html	/home/mario/websites/copiaVitutor/www.vitutor.com/gramatica_inglesa/clauses/index-clauses.html	(from )
11:58:11	52637/52637	---M--	200	added ('OK')	text/html	etag:%2281b6d1ed28cf1:54b0cb%22	http://www.vitutor.com/ejercicios_ingles.html	/home/mario/websites/copiaVitutor/www.vitutor.com/ejercicios_ingles.html	(from )
11:58:13	21808/21808	---M--	200	added ('OK')	text/javascript	etag:12236316023807881246	http://pagead2.googlesyndication.com/pagead/show_ads.js	/home/mario/websites/copiaVitutor/pagead2.googlesyndication.com/pagead/show_ads.js	(from )
11:58:13	1191/1191	---M--	200	added ('OK')	image/png	etag:%2223992909cd8cd1:0%22	http://www.vitutor.it/images/flecha-subir.png	/home/mario/websites/copiaVitutor/www.vitutor.it/images/flecha-subir.png	(from )
11:58:13	1387/1387	---M--	200	added ('OK')	image/png	etag:%224de983929cd8cd1:0%22	http://www.vitutor.it/images/home.png	/home/mario/websites/copiaVitutor/www.vitutor.it/images/home.png	(from )
11:58:14	1111/1111	---M--	200	added ('OK')	image/png	etag:%22a37ffd929cd8cd1:0%22	http://www.vitutor.it/images/indice.png	/home/mario/websites/copiaVitutor/www.vitutor.it/images/indice.png	(from )
11:58:14	1550/1550	---M--	200	added ('OK')	image/png	etag:%22566537a29cd8cd1:0%22	http://www.vitutor.it/images/print.png	/home/mario/websites/copiaVitutor/www.vitutor.it/images/print.png	(from )
11:58:15	98/98	---M-Z	302	error ('Found')	text/html	date:Wed,%2026%20Feb%202014%2010:58:15%20GMT	https://twitter.com/share	/home/mario/websites/copiaVitutor/twitter.com/share.3c.delayed	(from )
11:58:16	5176/5176	---M-Z	200	added ('OK')	text/html	etag:%225f338ee561b5fc1038180d0c5276af6f%22	https://twitter.com/intent/tweet	/home/mario/websites/copiaVitutor/twitter.com/intent/tweet.html	(from )
11:58:16	96563/96563	---M--	200	added ('OK')	application/javascript	etag:%22fd95d11479911ad052bd5c186fd59a02%22	https://platform.twitter.com/widgets.js	/home/mario/websites/copiaVitutor/platform.twitter.com/widgets.js	(from )
11:58:16	35594/35594	---MC-	200	added ('OK')	application/javascript	etag:%2271dd5c18ddfe1bdbbb1caa41c85956df%22	https://apis.google.com/js/plusone.js	/home/mario/websites/copiaVitutor/apis.google.com/js/plusone.js	(from )
11:58:18	21399/21399	---M--	200	added ('OK')	text/html	etag:%22d0eaa3e6ed28cf1:54b0cb%22	http://www.vitutor.com/matematica.html	/home/mario/websites/copiaVitutor/www.vitutor.com/matematica.html	(from )
11:58:18	21767/21767	---M--	200	added ('OK')	text/html	etag:%224222cadfa016cf1:54b0cb%22	http://www.vitutor.com/maths.html	/home/mario/websites/copiaVitutor/www.vitutor.com/maths.html	(from )
11:58:19	14625/14625	---M--	200	added ('OK')	text/html	etag:%2267c820e6ed28cf1:54b0cb%22	http://www.vitutor.com/gramatica_inglesa.html	/home/mario/websites/copiaVitutor/www.vitutor.com/gramatica_inglesa.html	(from )
11:58:20	17977/17977	---M--	200	added ('OK')	text/html	etag:%221379db791afce1:54b0cb%22	http://www.vitutor.com/1_bac_cs.html	/home/mario/websites/copiaVitutor/www.vitutor.com/1_bac_cs.html	(from )
11:58:21	9271/9271	---M--	200	added ('OK')	text/html	etag:%22bd831de7ed28cf1:54b0cb%22	http://www.vitutor.com/publicidad.html	/home/mario/websites/copiaVitutor/www.vitutor.com/publicidad.html	(from )
11:58:21	1560/1560	---M--	200	added ('OK')	image/png	etag:%22b8e8c1a79cd8cd1:0%22	http://www.vitutor.it/images/vitutor.png	/home/mario/websites/copiaVitutor/www.vitutor.it/images/vitutor.png	(from )
11:58:22	23452/23452	---M--	200	added ('OK')	text/html	etag:%229deefaafb224cf1:46e5f5%22	http://www.vitutor.net/	/home/mario/websites/copiaVitutor/www.vitutor.net/index.html	(from http://www.vitutor.com/)
11:58:22	13420/13420	---M--	200	added ('OK')	text/html	etag:%223046cc484f24cf1:4637bc%22	http://www.ditutor.com/	/home/mario/websites/copiaVitutor/www.ditutor.com/index.html	(from http://www.vitutor.com/)
11:58:23	17005/17005	---M--	200	added ('OK')	text/html	etag:%22cbd262199d25cf1:4d47b5%22	http://www.geoka.net/	/home/mario/websites/copiaVitutor/www.geoka.net/index.html	(from http://www.vitutor.com/)
11:58:23	9322/9322	---M--	200	added ('OK')	text/html	etag:%2225d74dceed28cf1:54b0cb%22	http://www.vitutor.com/aviso.html	/home/mario/websites/copiaVitutor/www.vitutor.com/aviso.html	(from )
11:58:23	22480/22480	---M--	200	added ('OK')	text/html	etag:%2285e781de9c25cf1:4d47b5%22	http://www.geoan.com/	/home/mario/websites/copiaVitutor/www.geoan.com/index.html	(from http://www.vitutor.com/)
11:58:23	17019/17019	---M--	200	added ('OK')	text/html	etag:%22aafdebaa9725cf1:4d47b5%22	http://www.aritor.com/	/home/mario/websites/copiaVitutor/www.aritor.com/index.html	(from http://www.vitutor.com/)
11:58:25	16464/16464	---M--	200	added ('OK')	text/html	etag:%22eb4ab04c7722cf1:4d47b5%22	http://www.dervor.com/	/home/mario/websites/copiaVitutor/www.dervor.com/index.html	(from http://www.vitutor.com/)
11:58:25	2033/2033	---M-Z	200	added ('OK')	text/plain	date:Fri,%2014%20Feb%202014%2021:03:05%20GMT	http://www.google.es/robots.txt		(from http://www.vitutor.com/)
11:58:25	15924/15924	---M--	200	added ('OK')	text/html	etag:%223927f5e8025cf1:4d47b5%22	http://www.inetor.com/	/home/mario/websites/copiaVitutor/www.inetor.com/index.html	(from http://www.vitutor.com/)
11:58:26	2348/2348	---M--	200	added ('OK')	text/plain	etag:%222d2e7bc-92c-4da1473fcefc0%22	http://www.vitutor.biz/robots.txt		(from http://www.vitutor.com/)
11:58:26	57013/57013	---M-Z	200	added ('OK')	text/css	etag:%224a491bb-deb5-4d57ae45eff40-gzip%22	http://www.vitutor.biz/themes/default/css/global.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/themes/default/css/global.css	(from http://www.vitutor.com/)
11:58:27	1071/1071	---M-Z	200	added ('OK')	text/css	etag:%224760cef-42f-4d999097922c0-gzip%22	http://www.vitutor.biz/modules/blockbestsellers/blockbestsellers.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blockbestsellers/blockbestsellers.css	(from http://www.vitutor.com/)
11:58:27	737/737	---M-Z	200	added ('OK')	text/css	etag:%222133176-2e1-4d99909886500-gzip%22	http://www.vitutor.biz/modules/blockpermanentlinks/blockpermanentlinks.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blockpermanentlinks/blockpermanentlinks.css	(from http://www.vitutor.com/)
11:58:27	810/810	---M-Z	200	added ('OK')	text/css	etag:%225ced06e-32a-4d99909886500-gzip%22	http://www.vitutor.biz/modules/blockviewed/blockviewed.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blockviewed/blockviewed.css	(from http://www.vitutor.com/)
11:58:27	1071/1071	---M-Z	200	added ('OK')	text/css	etag:%22511611e-42f-4d999097922c0-gzip%22	http://www.vitutor.biz/modules/blockcontact/blockcontact.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blockcontact/blockcontact.css	(from http://www.vitutor.com/)
11:58:28	2464/2464	---M-Z	200	added ('OK')	text/css	etag:%222503162-9a0-4d999097922c0-gzip%22	http://www.vitutor.biz/modules/blockcart/blockcart.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blockcart/blockcart.css	(from http://www.vitutor.com/)
11:58:28	1151/1151	---M-Z	200	added ('OK')	text/css	etag:%224d92b4a-47f-4d99909886500-gzip%22	http://www.vitutor.biz/modules/blockspecials/blockspecials.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blockspecials/blockspecials.css	(from http://www.vitutor.com/)
11:58:28	1342/1342	---M-Z	200	added ('OK')	text/css	etag:%222652331-53e-4d999097922c0-gzip%22	http://www.vitutor.biz/modules/blockcurrencies/blockcurrencies.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blockcurrencies/blockcurrencies.css	(from http://www.vitutor.com/)
11:58:29	1107/1107	---M-Z	200	added ('OK')	text/css	etag:%2246bfb2e-453-4d99909886500-gzip%22	http://www.vitutor.biz/modules/blocknewproducts/blocknewproducts.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blocknewproducts/blocknewproducts.css	(from http://www.vitutor.com/)
11:58:29	842/842	---M-Z	200	added ('OK')	text/css	etag:%222e029ba-34a-4d99909886500-gzip%22	http://www.vitutor.biz/modules/blockmyaccountfooter/blockmyaccount.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blockmyaccountfooter/blockmyaccount.css	(from http://www.vitutor.com/)
11:58:29	1395/1395	---M-Z	200	added ('OK')	text/css	etag:%221cfd10b-573-4d99909886500-gzip%22	http://www.vitutor.biz/modules/blockuserinfo/blockuserinfo.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blockuserinfo/blockuserinfo.css	(from http://www.vitutor.com/)
11:58:30	1241/1241	---M-Z	200	added ('OK')	text/css	etag:%222fcf485-4d9-4d999097922c0-gzip%22	http://www.vitutor.biz/modules/blocklanguages/blocklanguages.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blocklanguages/blocklanguages.css	(from http://www.vitutor.com/)
11:58:30	822/822	---M-Z	200	added ('OK')	text/css	etag:%225932cae-336-4d999095a9e40-gzip%22	http://www.vitutor.biz/js/jquery/plugins/autocomplete/jquery.autocomplete.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/js/jquery/plugins/autocomplete/jquery.autocomplete.css	(from http://www.vitutor.com/)
11:58:30	3180/3180	---M-Z	200	added ('OK')	text/css	etag:%222e058cf-c6c-4d57ae48cc600-gzip%22	http://www.vitutor.biz/themes/default/css/product_list.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/themes/default/css/product_list.css	(from http://www.vitutor.com/)
11:58:30	899/899	---M-Z	200	added ('OK')	text/css	etag:%229ef214-383-4d99909886500-gzip%22	http://www.vitutor.biz/modules/blocksearch/blocksearch.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blocksearch/blocksearch.css	(from http://www.vitutor.com/)
11:58:31	1468/1468	---M-Z	200	added ('OK')	text/css	etag:%22391ea48-5bc-4d99909886500-gzip%22	http://www.vitutor.biz/modules/favoriteproducts/favoriteproducts.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/favoriteproducts/favoriteproducts.css	(from http://www.vitutor.com/)
11:58:31	1665/1665	---M-Z	200	added ('OK')	text/css	etag:%224a11d5d-681-4d9990997a740-gzip%22	http://www.vitutor.biz/modules/homefeatured/homefeatured.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/homefeatured/homefeatured.css	(from http://www.vitutor.com/)
11:58:31	1367/1367	---M-Z	200	added ('OK')	text/css	etag:%223ec3f18-557-4d99909886500-gzip%22	http://www.vitutor.biz/modules/blocknewsletter/blocknewsletter.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blocknewsletter/blocknewsletter.css	(from http://www.vitutor.com/)
11:58:31	124319/124319	---M--	200	added ('OK')	image/x-icon	etag:%225febad1-1e59f-4d6c75c1bbbc0%22	http://www.vitutor.biz/img/favicon.ico?1378193722	/home/mario/websites/copiaVitutor/www.vitutor.biz/img/favicon44b4.ico	(from http://www.vitutor.com/)
11:58:32	930/930	---M-Z	200	added ('OK')	text/css	etag:%22152ead6-3a2-4d9990997a740-gzip%22	http://www.vitutor.biz/modules/mailalerts/mailalerts.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/mailalerts/mailalerts.css	(from http://www.vitutor.com/)
11:58:32	4407/4407	---M-Z	200	added ('OK')	text/css	etag:%2224363f2-1137-4d9990a5e0480-gzip%22	http://www.vitutor.biz/modules/paypal/css/paypal.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/paypal/css/paypal.css	(from http://www.vitutor.com/)
11:58:32	796/796	---M-Z	200	added ('OK')	text/css	etag:%22458b0f2-31c-4d99909886500-gzip%22	http://www.vitutor.biz/modules/crossselling/crossselling.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/crossselling/crossselling.css	(from http://www.vitutor.com/)
11:58:32	4056/4056	---M-Z	200	added ('OK')	text/css	etag:%2225d38e0-fd8-4d99909886500-gzip%22	http://www.vitutor.biz/modules/blocktopmenu/css/superfish-modified.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blocktopmenu/css/superfish-modified.css	(from http://www.vitutor.com/)
11:58:33	1638/1638	---M-Z	200	added ('OK')	text/css	etag:%225f64231-666-4d9d7767de200-gzip%22	http://www.vitutor.biz/modules/homeslider/bx_styles.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/homeslider/bx_styles.css	(from http://www.vitutor.com/)
11:58:33	716/716	---M-Z	200	added ('OK')	text/css	etag:%225ced07e-2cc-4d99909886500-gzip%22	http://www.vitutor.biz/modules/blockreinsurance/style.css	/home/mario/websites/copiaVitutor/www.vitutor.biz/modules/blockreinsurance/style.css	(from http://www.vitutor.com/)
11:58:34	4955/4955	---M-Z	200	added ('OK')	application/javascript	etag:%224e4a380-135b-4d999095a9e40-gzip%22	http://www.vitutor.biz/js/jquery/plugins/jquery.easing.js	/home/mario/websites/copiaVitutor/www.vitutor.biz/js/jquery/plugins/jquery.easing.js	(from http://www.vitutor.com/)
11:58:34	94840/94840	---M-Z	200	added ('OK')	application/javascript	etag:%2221b71cf-17278-4d999094b5c00-gzip%22	http://www.vitutor.biz/js/jquery/jquery-1.7.2.min.js	/home/mario/websites/copiaVitutor/www.vitutor.biz/js/jquery/jquery-1.7.2.min.js	(from http://www.vitutor.com/)
11:58:34	9020/9020	---M-Z	200	added ('OK')	application/javascript	etag:%22450135e-233c-4d999097922c0-gzip%22	http://www.vitutor.biz/js/tools.js	/home/mario/websites/copiaVitutor/www.vitutor.biz/js/tools.js	(from http://www.vitutor.com/)
11:58:34	1995/1995	---M-Z	200	added ('OK')	application/javascript	etag:%222b54e36-7cb-4d57aea91e940-gzip%22	http://www.vitutor.biz/themes/default/js/tools/treeManagement.js	/home/mario/websites/copiaVitutor/www.vitutor.biz/themes/default/js/tools/treeManagement.js	(from http://www.vitutor.com/)
